address,pnl,trade_count,volume,cache_timestamp
8MqRTAQnjhDYH7TWS1b1DjFog4CLZfySWE5cZeotG2VW,885570.317924159,95488,235570792.96656096,2024-12-02 13:59:56.004298
BuC5XNPzCYAEmgCXD9YXrdhRMePZBQQGScncYoDMKQFf,883316.3917251942,772,926285.1428117086,2024-12-02 13:59:56.004298
FsqJTGDktCy6iJjXCBZezyYSA3mBeS9JEcHHHKB9eEyi,883214.7791548268,850,925941.2512742097,2024-12-02 13:59:56.004298
GPL1gcn9FsF9ERZbmJb5abKVmLRgKR1eXA4QkJDwM5Ti,880723.1198340796,177,934133.9712665087,2024-12-02 13:59:56.004298
8SKf2Y2ghZmwUb9PKUcW49EuTEE1cEDniqpfDPgPfHxR,874504.3663131472,844,918755.1932904674,2024-12-02 13:59:56.004298
4tFnPh9jExeTv479b8YqnEwkHuqZ1c8vwNdSeR4H5CqH,855037.1528254466,654,896499.7058297576,2024-12-02 13:59:56.004298
3dwQJy6nXB6SpzDBaz6hw7qcVCzepX6KNg5sPNw3hxHm,828113.6353602541,1028,2116348.8207679302,2024-12-02 13:59:56.004298
2w2v2fj6r8gFmySnoXkrQGYgnHLa3JmwycDAQekHsf9E,827530.5854613156,870,867887.4181597333,2024-12-02 13:59:56.004298
5j1BLh2c5EaE7SZtDmkSbzAgVFZvAhfXwtQV1wKLmWM7,826400.572334382,28,8767.156705451904,2024-12-02 13:59:56.004298
j1oeQoPeuEDmjvyMwBmCWexzCQup77kbKKxV59CnYbd,825814.9563723117,56655,47404167.22415566,2024-12-02 13:59:56.004298
F2JbaX2m9paRkn7gL2zKattb6KKtPS1ySM14ds5tFPST,818679.018404288,698,859750.162614311,2024-12-02 13:59:56.004298
3P7KVRb1WLowU2qCQ7izsbShUZeHJ9gBKCZfEeH2q9mP,815376.2344406781,650,862010.8001269364,2024-12-02 13:59:56.004298
